"Posición";"Position";"n()"
"Arquero";"GK";37
"Arquero";"LS";1
"Arquero";"RCB";2
"Arquero";"RCM";1
"Arquero";"Res";2
"Arquero";"ST";1
"Arquero";"Sub";37
"Arquero";NA;19
"Arquero ";"GK";2
"Arquero ";NA;1
"Centrocampista";"CAM";15
"Centrocampista";"CDM";8
"Centrocampista";"CM";6
"Centrocampista";"LAM";2
"Centrocampista";"LB";3
"Centrocampista";"LCM";23
"Centrocampista";"LDM";13
"Centrocampista";"LF";1
"Centrocampista";"LM";18
"Centrocampista";"LS";1
"Centrocampista";"LW";3
"Centrocampista";"RAM";1
"Centrocampista";"RB";1
"Centrocampista";"RCM";26
"Centrocampista";"RDM";14
"Centrocampista";"Res";4
"Centrocampista";"RM";9
"Centrocampista";"RS";1
"Centrocampista";"RW";2
"Centrocampista";"Sub";89
"Centrocampista";NA;34
"Defensa";"CB";8
"Defensa";"CDM";1
"Defensa";"GK";2
"Defensa";"LB";28
"Defensa";"LCB";40
"Defensa";"LCM";2
"Defensa";"LDM";1
"Defensa";"LM";4
"Defensa";"LS";1
"Defensa";"LWB";2
"Defensa";"RB";28
"Defensa";"RCB";36
"Defensa";"RDM";1
"Defensa";"Res";3
"Defensa";"RM";3
"Defensa";"RW";1
"Defensa";"RWB";2
"Defensa";"ST";1
"Defensa";"Sub";90
"Defensa";NA;27
"Delantero";"CAM";6
"Delantero";"LB";2
"Delantero";"LCM";6
"Delantero";"LF";2
"Delantero";"LM";6
"Delantero";"LS";14
"Delantero";"LW";6
"Delantero";"RAM";2
"Delantero";"RCB";1
"Delantero";"RCM";3
"Delantero";"Res";5
"Delantero";"RF";2
"Delantero";"RM";7
"Delantero";"RS";14
"Delantero";"RW";7
"Delantero";"RWB";1
"Delantero";"ST";29
"Delantero";"Sub";63
"Delantero";NA;22
NA;"CAM";287
NA;"CB";87
NA;"CDM";125
NA;"CF";11
NA;"CM";62
NA;"GK";576
NA;"LAM";16
NA;"LB";517
NA;"LCB";615
NA;"LCM";348
NA;"LDM";246
NA;"LF";11
NA;"LM";440
NA;"LS";177
NA;"LW";110
NA;"LWB";44
NA;"RAM";17
NA;"RB";525
NA;"RCB";606
NA;"RCM";353
NA;"RDM";235
NA;"Res";3026
NA;"RF";10
NA;"RM";452
NA;"RS";182
NA;"RW";108
NA;"RWB";47
NA;"ST";428
NA;"Sub";7709
NA;NA;31
