Equipo_A;Equipo_B;res_win;res_tied;res_lost;final_predict;;
France;Australia;0.356936749;0.089798065;0.240293322;win;;
Poland;Colombia;0.384368154;0.320107888;0.22970023;win;;
Switzerland;Costa Rica;0.616974601;0.046169563;0.117731413;win;;
Brazil;Costa Rica;0.516043724;0.079295539;0.150434954;win;;
Serbia;Costa Rica;0.421233783;0.121154078;0.089871008;win;;
Argentina;Croatia;0.414963204;0.191099927;0.105675768;win;;
Nigeria;Croatia;0.083362989;0.351233204;0.359248229;lost;;
Iceland;Croatia;0.328367867;0.20152641;0.262418127;win;;
Australia;Denmark;0.160453008;0.256981972;0.141088725;tied;;
France;Denmark;0.372632232;0.250286252;0.05407023;win;;
Uruguay;Egypt;0.477646323;0.061929597;0.100147507;win;;
Saudi Arabia;Egypt;0.337657664;0.206919634;0.274151534;win;;
Russia;Egypt;0.531908255;0.096724138;0.340679855;win;;
Belgium;England;0.395913318;0.323646688;0.150144296;win;;
Panama;England;0.134569034;0.1122194;0.22176978;lost;;
Argentina;Iceland;0.342067466;0.313977108;0.076873451;win;;
Portugal;Iran;0.238986157;0.198190592;0.364639409;lost;;
Spain;Iran;0.541664208;0.193429122;0.25124443;win;;
Colombia;Japan;0.274636155;0.248717755;0.099429114;win;;
Poland;Japan;0.444570078;0.18912122;0.104738098;win;;
Mexico;Korea Republic;0.759397929;0.069557644;0.165646915;win;;
Germany;Korea Republic;0.749008723;0.028173341;0.013612225;win;;
Germany;Mexico;0.436570519;0.106227256;0.101583088;win;;
Iran;Morocco;0.571005295;0.169297215;0.306556131;win;;
Portugal;Morocco;0.497496603;0.061571211;0.194649108;win;;
Spain;Morocco;0.422312857;0.106492054;0.129825687;win;;
Argentina;Nigeria;0.161403866;0.079345908;0.323280507;lost;;
Iceland;Nigeria;0.54327099;0.106920025;0.156642952;win;;
Belgium;Panama;0.674284989;0.090248259;0.190779206;win;;
Australia;Peru;0.498891661;0.048835629;0.057767136;win;;
France;Peru;0.327087691;0.263077296;0.268495101;win;;
Denmark;Peru;0.80652779;0.044102519;0.153057014;win;;
Russia;Saudi Arabia;0.682214892;0.077798586;0.220421505;win;;
Colombia;Senegal;0.227721245;0.47805862;0.048987253;tied;;
Japan;Senegal;0.285524139;0.051554306;0.286802697;lost;;
Poland;Senegal;0.338276863;0.384786243;0.08551712;tied;;
Switzerland;Serbia;0.62381956;0.244231769;0.01750376;win;;
Brazil;Serbia;0.363282233;0.048262022;0.210884226;win;;
Portugal;Spain;0.305611535;0.391566181;0.107438419;tied;;
Korea Republic;Sweden;0.260472848;0.241841214;0.295971818;lost;;
Mexico;Sweden;0.184059772;0.161857956;0.291896049;lost;;
Germany;Sweden;0.560408604;0.248135032;0.101855839;win;;
Brazil;Switzerland;0.460012212;0.181850205;0.042462468;win;;
Belgium;Tunisia;0.632477351;0.05220937;0.037894485;win;;
England;Tunisia;0.451724483;0.254308488;0.016271202;win;;
Panama;Tunisia;0.373506217;0.213826071;0.182817603;win;;
Saudi Arabia;Uruguay;0.054075527;0.166911033;0.22176978;lost;;
Russia;Uruguay;0.195840753;0.238294384;0.360233991;lost;;
